Question,extracted_disease,curie_id,Goldstandard,llm_answer_prompt_test
What is the name of the gene related to Hemolytic anemia due to phosphofructokinase deficiency?,Hemolytic anemia due to phosphofructokinase deficiency,MONDO:0009113,PFKL,"{
  ""answer"": ""PFKFB3""
}"
What is the name of the gene related to Distal renal tubular acidosis?,Distal renal tubular acidosis,MONDO:0015827,"SLC4A1, ATP6V0A4","{
  ""answer"": ""SLC4A1""
}"
What is the name of the gene related to Pseudohypoparathyroidism Ic?,Pseudohypoparathyroidism Ic,MONDO:0019992,GNAS,"{
  ""answer"": ""GNAS""
}"
What is the name of the gene related to Glycine N-methyltransferase deficiency?,Glycine N-methyltransferase deficiency,MONDO:0011698,GNMT,"{
  ""answer"": ""GNMT""
}"
What is the name of the gene related to Meesmann corneal dystrophy?,Meesmann corneal dystrophy,MONDO:0007379,"KRT12, KRT3","{
  ""answer"": ""KRT12""
}"
What is the name of the gene related to Chronic atrial and intestinal dysrhythmia?,Chronic atrial and intestinal dysrhythmia,MONDO:0014528,SGO1,"{
  ""answer"": ""SCN5A""
}"
What is the name of the gene related to Sensorineural deafness with mild renal dysfunction?,Sensorineural deafness with mild renal dysfunction,MONDO:0011242,BSND,"{
  ""answer"": ""SLC26A4""
}"
What is the name of the gene related to Bile acid malabsorption?,Bile acid malabsorption,UMLS:C2747802,"SLC10A2, SLC51B","{
  ""answer"": ""SLC10A2""
}"
What is the name of the gene related to Immunodeficiency due to defect in MAPBP-interacting protein?,Immunodeficiency due to defect in MAPBP-interacting protein,MONDO:0012559,LAMTOR2,"{
  ""answer"": ""MAPBPIP""
}"
What is the name of the gene related to Currarino syndrome?,Currarino syndrome,MONDO:0008305,MNX1,"{
  ""answer"": ""MNX1""
}"
What is the name of the gene related to Intervertebral disc disease?,Intervertebral disc disease,UMLS:C0393414,COL9A3,"{
  ""answer"": ""COL9A2""
}"
What is the name of the gene related to Otofaciocervical syndrome?,Otofaciocervical syndrome,MONDO:0008163,"EYA1, PAX1","{
  ""answer"": ""OTOF""
}"
What is the name of the gene related to Brody myopathy?,Brody myopathy,MONDO:0010977,ATP2A1,"{
  ""answer"": ""ATP2A1""
}"
What is the name of the gene related to Neurodevelopmental disorder with gait disturbance?,Neurodevelopmental disorder with gait disturbance,MONDO:0859085,TCEAL1,"{
  ""answer"": ""GNB1""
}"
What is the name of the gene related to Mitochondrial DNA depletion syndrome 4A Alpers type?,Mitochondrial DNA depletion syndrome 4A Alpers type,MONDO:0008758,POLG,"{
  ""answer"": ""POLG""
}"
What is the name of the gene related to Nephropathy due to CFHR5 deficiency?,Nephropathy due to CFHR5 deficiency,MONDO:0013892,CFHR5,"{
  ""answer"": ""CFHR5""
}"
What is the name of the gene related to Achromatopsia?,Achromatopsia,MONDO:0018852,"CNGA3, CNGB3, GNAT2, PDE6H, ATF6","{
  ""answer"": ""CNGB3""
}"
What is the name of the gene related to Hyperphenylalaninemia?,Hyperphenylalaninemia,MONDO:0016543,"PTS, GCH1, QDPR, PCBD1, DNAJC12, PAH","{
  ""answer"": ""PAH""
}"
What is the name of the gene related to EDICT syndrome?,EDICT syndrome,MONDO:0013678,MIR184,"{
  ""answer"": ""EDCT""
}"
What is the name of the gene related to Gastrointestinal defects and immunodeficiency syndrome?,Gastrointestinal defects and immunodeficiency syndrome,MONDO:0800030,"PI4KA, TTC7A","{
  ""answer"": ""IL2RG""
}"
What is the name of the gene related to Cleft palate with ankyloglossia?,Cleft palate with ankyloglossia,UMLS:C1844831,TBX22,"{
  ""answer"": ""IRF6""
}"
What is the name of the gene related to Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures?,Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures,MONDO:0032877,DLL1,"{
  ""answer"": ""SYNGAP1""
}"
What is the name of the gene related to Spondylocarpotarsal synostosis syndrome?,Spondylocarpotarsal synostosis syndrome,MONDO:0010094,FLNB,"{
  ""answer"": ""SYNGAP1""
}"
What is the name of the gene related to Haim-Munk syndrome?,Haim-Munk syndrome,MONDO:0009491,CTSC,"{
  ""answer"": ""CTSC""
}"
What is the name of the gene related to Sialidosis?,Sialidosis,MONDO:0017734,"NEU1, NEU1","{
  ""answer"": ""NEU1""
}"
What is the name of the gene related to Siddiqi syndrome?,Siddiqi syndrome,MONDO:0032842,FITM2,"{
  ""answer"": ""SLC25A19""
}"
What is the name of the gene related to Corneal fleck dystrophy?,Corneal fleck dystrophy,MONDO:0007376,PIKFYVE,"{
  ""answer"": ""TGFBI""
}"
What is the name of the gene related to Liver failure?,Liver failure,MONDO:0100192,TRMU,"{
  ""answer"": ""F7""
}"
What is the name of the gene related to Proteasome-associated autoinflammatory syndrome?,Proteasome-associated autoinflammatory syndrome,MONDO:0054699,"PSMB9, PSMG2, POMP, PSMB10","{
  ""answer"": ""NLRP12""
}"
What is the name of the gene related to Orofaciodigital syndrome XIV?,Orofaciodigital syndrome XIV,MONDO:0015375,C2CD3,"{
  ""answer"": ""WDR35""
}"
What is the name of the gene related to Trichoepithelioma?,Trichoepithelioma,MONDO:0020593,CYLD,"{
  ""answer"": ""TOX""
}"
What is the name of the gene related to Medullary thyroid carcinoma?,Medullary thyroid carcinoma,MONDO:0015277,RET,"{
  ""answer"": ""RET""
}"
What is the name of the gene related to Type diabetes mellitus?,Type diabetes mellitus,UMLS:C0948894,"HNF1B, IL6, GPD2, HMGA1, IRS1, NEUROD1, IL6","{
  ""answer"": ""INS""
}"
What is the name of the gene related to Buschke-Ollendorff syndrome?,Buschke-Ollendorff syndrome,MONDO:0008157,LEMD3,"{
  ""answer"": ""LEMD3""
}"
What is the name of the gene related to Vascular malformation?,Vascular malformation,MONDO:0024291,ELMO2,"{
  ""answer"": ""TEK""
}"
What is the name of the gene related to Acrocallosal syndrome?,Acrocallosal syndrome,MONDO:0008708,KIF7,"{
  ""answer"": ""KIF7""
}"
What is the name of the gene related to Congenital disorder of deglycosylation?,Congenital disorder of deglycosylation,MONDO:0031376,"NGLY1, MAN2C1","{
  ""answer"": ""MGAT2""
}"
What is the name of the gene related to Spinal muscular atrophy with congenital bone fractures?,Spinal muscular atrophy with congenital bone fractures,MONDO:0014806,"TRIP4, ASCC1","{
  ""answer"": ""SMN1""
}"
What is the name of the gene related to B-cell immunodeficiency?,B-cell immunodeficiency,MONDO:0012243,TOP2B,"{
  ""answer"": ""ICOS""
}"
What is the name of the gene related to Immunodeficiency with inflammatory disease and congenital thrombocytopenia?,Immunodeficiency with inflammatory disease and congenital thrombocytopenia,MONDO:0032601,ARPC1B,"{
  ""answer"": ""MAGT1""
}"
What is the name of the gene related to Split-foot malformation with mesoaxial polydactyly?,Split-foot malformation with mesoaxial polydactyly,MONDO:0014816,MAP3K20,"{
  ""answer"": ""GLI3""
}"
What is the name of the gene related to Pigmented nodular adrenocortical disease?,Pigmented nodular adrenocortical disease,MONDO:0015999,"PRKAR1A, PDE11A, PDE8B","{
  ""answer"": ""PRKAR1A""
}"
What is the name of the gene related to Superoxide dismutase?,Superoxide dismutase,CHEBI:18421,SOD3,"{
  ""answer"": ""SOD1""
}"
What is the name of the gene related to Leukoencephalopathy with dystonia and motor neuropathy?,Leukoencephalopathy with dystonia and motor neuropathy,UMLS:C3502241,SCP2,"{
  ""answer"": ""GJA12""
}"
What is the name of the gene related to Intracranial hemorrhage in brain cerebrovascular malformations?,Intracranial hemorrhage in brain cerebrovascular malformations,UMLS:C1840138,IL6,"{
  ""answer"": ""VEGF""
}"
What is the name of the gene related to Multiple system atrophy?,Multiple system atrophy,MONDO:0007803,COQ2,"{
  ""answer"": ""SNCA""
}"
What is the name of the gene related to Cone dystrophy?,Cone dystrophy,MONDO:0000455,"PDE6C, GUCA1A","{
  ""answer"": ""CNGB3""
}"
What is the name of the gene related to Holt-Oram syndrome?,Holt-Oram syndrome,MONDO:0007732,TBX5,"{
  ""answer"": ""TBX5""
}"
What is the name of the gene related to Lichtenstein-Knorr syndrome?,Lichtenstein-Knorr syndrome,MONDO:0014572,SLC9A1,"{
  ""answer"": ""KCNJ2""
}"
What is the name of the gene related to Ablepharon-macrostomia syndrome?,Ablepharon-macrostomia syndrome,MONDO:0008693,TWIST2,"{
  ""answer"": ""FOXL2""
}"
What is the name of the gene related to Narcolepsy?,Narcolepsy,MONDO:0021107,"HCRT, MOG","{
  ""answer"": ""HLA-DQB1""
}"
What is the name of the gene related to Neurodevelopmental disorder with absent language and variable seizures?,Neurodevelopmental disorder with absent language and variable seizures,MONDO:0032876,WASF1,"{
  ""answer"": ""SYNGAP1""
}"
What is the name of the gene related to Reticulate acropigmentation of Kitamura?,Reticulate acropigmentation of Kitamura,MONDO:0014234,ADAM10,"{
  ""answer"": ""SLC45A2""
}"
What is the name of the gene related to Leber congenital amaurosis with early-onset deafness?,Leber congenital amaurosis with early-onset deafness,MONDO:0060650,TUBB4B,"{
  ""answer"": ""RPE65""
}"
